,Unnamed: 0,Data,Sindrome,Covid
0,0,2020-03-16,2,0
1,1,2020-03-17,2,0
2,2,2020-03-18,4,0
3,3,2020-03-19,4,0
4,4,2020-03-20,6,0
5,5,2020-03-21,7,0
6,6,2020-03-22,9,0
7,7,2020-03-23,33,0
8,8,2020-03-24,41,0
9,9,2020-03-25,65,1
10,10,2020-03-26,95,1
11,11,2020-03-27,133,1
12,12,2020-03-28,164,1
13,13,2020-03-29,168,1
14,14,2020-03-30,179,1
15,15,2020-03-31,183,1
16,16,2020-04-01,191,1
17,17,2020-04-02,195,1
18,18,2020-04-03,209,1
19,19,2020-04-04,212,1
20,20,2020-04-05,213,1
21,21,2020-04-06,226,1
22,22,2020-04-07,240,1
23,23,2020-04-08,249,1
24,24,2020-04-09,259,1
25,25,2020-04-10,260,1
26,26,2020-04-11,269,2
27,27,2020-04-12,279,2
28,28,2020-04-13,290,2
29,29,2020-04-14,297,2
30,30,2020-04-15,308,5
31,31,2020-04-16,316,5
32,32,2020-04-17,328,5
33,33,2020-04-18,338,6
34,34,2020-04-19,343,6
35,35,2020-04-20,345,6
36,36,2020-04-21,352,6
37,37,2020-04-22,356,7
38,38,2020-04-23,369,8
39,39,2020-04-24,378,8
40,40,2020-04-25,385,8
41,41,2020-04-26,390,8
42,42,2020-04-27,408,8
43,43,2020-04-28,409,8
44,44,2020-04-29,417,10
45,45,2020-04-30,422,10
46,46,2020-05-01,430,10
47,47,2020-05-02,437,10
48,48,2020-05-03,450,10
49,49,2020-05-04,452,10
50,50,2020-05-05,459,10
51,51,2020-05-06,468,10
52,52,2020-05-07,478,12
53,53,2020-05-08,483,12
54,54,2020-05-09,486,12
55,55,2020-05-10,488,12
56,56,2020-05-11,494,12
57,57,2020-05-12,502,12
58,58,2020-05-13,509,12
59,59,2020-05-14,514,13
60,60,2020-05-15,521,13
61,61,2020-05-16,519,14
62,62,2020-05-17,523,14
63,63,2020-05-18,528,15
64,64,2020-05-19,533,17
65,65,2020-05-20,542,40
66,66,2020-05-21,554,101
67,67,2020-05-22,561,126
68,68,2020-05-23,567,133
69,69,2020-05-24,571,136
70,70,2020-05-25,572,137
71,71,2020-05-26,584,164
72,72,2020-05-27,592,196
73,73,2020-05-28,616,273
74,74,2020-05-29,632,330
75,75,2020-05-30,641,357
76,76,2020-05-31,645,360
77,77,2020-06-01,651,361
78,78,2020-06-02,660,410
79,79,2020-06-03,668,427
80,80,2020-06-04,668,448
81,81,2020-06-05,674,470
82,82,2020-06-06,676,500
83,83,2020-06-07,679,500
84,84,2020-06-08,681,502
85,85,2020-06-09,686,504
86,86,2020-06-10,689,505
87,87,2020-06-11,692,528
